GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service,cn.edu.xmu.oomall.service.dao,ServiceOrderDao,38,220,6,8,5,49,6,10,0,9
service,cn.edu.xmu.oomall.service.dao,ServiceDao,38,215,6,6,5,49,6,9,0,9
service,cn.edu.xmu.oomall.service.dao,ServiceProviderDao,39,241,5,5,4,54,6,8,1,8
service,cn.edu.xmu.oomall.service.dao,ProductServiceDao,81,323,12,12,11,69,12,14,0,14
service,cn.edu.xmu.oomall.service.service,ServiceProviderService,39,61,2,2,2,15,2,5,0,5
service,cn.edu.xmu.oomall.service.service,ServiceService,0,45,0,2,0,12,0,4,0,3
service,cn.edu.xmu.oomall.service.service,ServiceOrderService,78,270,12,20,8,52,11,10,0,5
service,cn.edu.xmu.oomall.service.mapper.openfeign.po,FreightExpress,76,0,0,0,23,0,16,0,16,0
service,cn.edu.xmu.oomall.service.controller,ServiceOrderController,0,98,0,0,0,16,0,6,0,6
service,cn.edu.xmu.oomall.service.controller,ShopServiceController,0,17,0,0,0,5,0,2,0,2
service,cn.edu.xmu.oomall.service.controller,ServiceProviderController,15,109,2,2,1,23,2,4,0,4
service,cn.edu.xmu.oomall.service.dao.openfeign,FreightExpressDao,66,10,4,0,13,4,5,1,3,1
service,cn.edu.xmu.oomall.service.controller.vo,ServiceProviderVo,0,31,0,0,0,13,0,9,0,9
service,cn.edu.xmu.oomall.service.controller.vo,ServiceOrderVo,80,77,0,0,36,27,20,25,20,25
service,cn.edu.xmu.oomall.service.controller.dto,ServiceProviderDto,21,49,0,0,1,21,1,13,1,13
service,cn.edu.xmu.oomall.service.controller.dto,ServiceOrderDto,71,145,0,0,5,50,3,35,3,35
service,cn.edu.xmu.oomall.service.controller.dto,ServiceOrdersDto,27,30,0,0,8,11,7,7,7,7
service,cn.edu.xmu.javaee.core.util,CloneFactory,29,696,0,0,8,180,2,12,2,12
service,cn.edu.xmu.oomall.service.mapper.po,ServicePo,39,87,0,0,1,37,1,25,1,25
service,cn.edu.xmu.oomall.service.mapper.po,ProductServicePo,39,87,0,0,1,35,1,25,1,25
service,cn.edu.xmu.oomall.service.mapper.po,ServiceProviderPo,39,87,0,0,1,36,1,25,1,25
service,cn.edu.xmu.oomall.service.mapper.po,ServiceOrderPo,75,171,0,0,1,67,1,49,1,49
service,cn.edu.xmu.oomall.service.dao.bo,ServiceProvider,34,108,0,0,2,42,2,27,2,27
service,cn.edu.xmu.oomall.service.dao.bo,Services,87,149,1,3,4,51,4,30,3,29
service,cn.edu.xmu.oomall.service.dao.bo,ServiceOrder.new HashMap() {...},0,27,0,0,0,5,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,ServiceOrder.new HashMap() {...},0,23,0,0,0,6,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,ServiceOrder,122,298,6,6,5,99,8,55,2,55
service,cn.edu.xmu.oomall.service.dao.bo,ProductService.new HashMap() {...},0,13,0,0,0,4,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,ServiceOrder.2.new HashSet() {...},0,14,0,0,0,4,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,ServiceOrder.2.new HashSet() {...},0,18,0,0,0,5,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,ServiceOrder.2.new HashSet() {...},0,14,0,0,0,4,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,Services.new HashMap() {...},0,13,0,0,0,4,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,ProductService,87,120,1,1,4,45,4,29,3,29
service,cn.edu.xmu.oomall.service.dao.bo,ProductService.2.new HashSet() {...},0,10,0,0,0,3,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,Services.2.new HashSet() {...},0,10,0,0,0,3,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,ProductService.2.new HashSet() {...},0,10,0,0,0,3,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,ServiceProvider.new HashMap() {...},0,23,0,0,0,6,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,ProductService.new HashMap() {...},0,19,0,0,0,4,0,1,0,1
service,cn.edu.xmu.oomall.service.dao.bo,Services.new HashMap() {...},0,11,0,0,0,3,0,1,0,1
service,cn.edu.xmu.oomall.service,ServiceApplication,8,0,0,0,3,0,2,0,2,0
